indice_tiempo,eph_puntual_desocupacion_total
2003-01-01,0.204
2003-04-01,0.17800000000000002
2003-07-01,0.1614696649200896
2003-10-01,0.1444716694204933
2004-01-01,0.1427692869526586
2004-04-01,0.1465347815131445
2004-07-01,0.1313133934445161
2004-10-01,0.12021879282001101
2005-01-01,0.1291846311664872
2005-04-01,0.11964514734733
2005-07-01,0.1112176719931428
2005-10-01,0.1003549480456699
2006-01-01,0.1130833634825018
2006-04-01,0.1032490983875941
2006-07-01,0.1009459815221814
2006-10-01,0.0862436738102024
2007-01-01,0.0968933553822826
2007-04-01,0.0828778369336444
2007-07-01,0.081
2007-10-01,0.07522466866661501
2008-01-01,0.0831057162943377
2008-04-01,0.0795405990031385
2008-07-01,0.0777491756762088
2008-10-01,0.0727862227506992
2009-01-01,0.08361046824143
2009-04-01,0.0873917902564734
2009-07-01,0.0908752735518406
2009-10-01,0.0837217812970275
2010-01-01,0.083
2010-04-01,0.079
2010-07-01,0.075
2010-10-01,0.073
2011-01-01,0.07400000000000001
2011-04-01,0.073
2011-07-01,0.07200000000000001
2011-10-01,0.067
2012-01-01,0.071
2012-04-01,0.07200000000000001
2012-07-01,0.076
2012-10-01,0.069
2013-01-01,0.079
2013-04-01,0.07200000000000001
2013-07-01,0.068
2013-10-01,0.064
2014-01-01,0.071
2014-04-01,0.071
2014-07-01,0.075
2014-10-01,0.069
2015-01-01,0.071
2015-04-01,0.066
2015-07-01,0.059000000000000004
2015-10-01,
2016-01-01,
2016-04-01,0.09300000000000001
2016-07-01,0.085
2016-10-01,0.076
2017-01-01,0.092
2017-04-01,0.087
2017-07-01,0.083
2017-10-01,0.07200000000000001
2018-01-01,0.091
2018-04-01,0.096
2018-07-01,0.09
2018-10-01,0.091
2019-01-01,0.10099999999999999
2019-04-01,0.106
2019-07-01,0.09699999999999999
