indice_tiempo,ipc_alimentos_bebidas_no_alcoholicas_nacional,ipc_bebidas_alcoholicas_tabaco_nacional,ipc_bienes_servicios_varios_nacional,ipc_comunicaciones_nacional,ipc_educacion_nacional,ipc_prendas_vestir_calzado_nacional,ipc_recreacion_cultura_nacional,ipc_salud_nacional,ipc_transporte_nacional,ipc_vivienda_agua_electricidad_combustibles_nacional
2016-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017-01-01,101.3024,100.925,101.9345,103.0516,100.7952,99.0066,103.1906,102.3501,102.0755,101.4784
2017-02-01,103.1605,105.2395,103.7951,107.2514,103.9808,98.8523,103.7961,105.0852,103.9957,107.0014
2017-03-01,106.0143,107.2901,105.6633,110.6933,115.3409,102.255,105.5114,107.1422,105.2177,110.8463
2017-04-01,108.3515,109.8338,107.5442,118.2686,118.6783,106.8806,108.2881,109.052,105.8674,117.4108
2017-05-01,109.7631,111.7182,108.9336,118.6553,120.69,108.726,109.0808,110.7256,106.8575,119.5207
2017-06-01,110.7483,112.4572,110.3729,120.1049,121.8757,109.6911,111.6195,112.3558,107.5925,121.6359
2017-07-01,112.0115,115.794,111.8348,121.2281,122.8868,108.3524,115.609,116.0848,109.9058,124.0879
2017-08-01,114.3467,117.3256,113.6021,123.052,125.3185,107.6769,116.3997,119.0025,111.0994,126.7648
2017-09-01,116.4048,118.1383,115.4941,124.3454,129.9791,111.7682,119.536,121.8977,111.9943,129.2656
2017-10-01,118.1646,121.695,117.0803,130.9342,131.0253,114.138,121.032,123.2121,113.4318,130.4139
2017-11-01,119.5688,123.0467,118.5168,131.8833,131.4832,115.6644,121.8725,124.8225,116.8496,132.0294
2017-12-01,120.36,123.7178,119.8176,134.1367,131.4716,116.6315,122.7547,127.7938,120.6253,155.5929
2018-01-01,122.8752,126.558,122.7189,136.6524,132.3079,115.7454,127.0012,130.037,123.2423,157.216
2018-02-01,125.5566,128.7394,124.8704,149.113,134.8324,115.036,128.2519,133.0853,128.7666,163.1754
2018-03-01,128.469,129.6226,127.1891,153.2069,153.4357,120.0687,129.8108,134.821,131.0603,164.1018
2018-04-01,129.9559,131.2858,129.3332,154.7928,154.6926,124.9254,132.3056,137.2231,136.3269,177.2462
2018-05-01,134.2019,133.4078,131.8763,160.8721,156.0746,127.3628,135.6359,140.2549,138.9243,175.9498
2018-06-01,141.151,134.6168,136.0669,161.4822,157.9789,129.8016,140.1805,146.2916,147.1719,180.6206
2018-07-01,146.7848,138.1218,141.4245,162.4498,160.7826,129.6084,147.2814,150.399,154.8231,182.4306
2018-08-01,152.6743,139.9915,148.3437,182.6004,163.8623,130.05100000000002,152.1489,156.5273,161.083,193.6678
2018-09-01,163.3911,146.1856,160.1018,186.4637,166.5346,142.776,162.4851,163.6215,177.8431,198.1079
2018-10-01,173.0007,149.5775,170.0438,187.8155,170.0009,149.9773,166.9487,172.5763,191.3913,215.507
2018-11-01,178.8975,156.5108,177.5239,193.5208,171.9664,153.444,171.6321,182.333,196.5066,220.0981
2018-12-01,181.9359,158.6722,183.608,208.333,173.7237,155.1797,176.0803,191.9052,201.2271,226.6993
2019-01-01,188.0357,164.1486,190.2864,223.7092,174.7196,154.3105,182.2543,197.4877,206.205,233.7201
2019-02-01,198.7818,168.0165,196.1795,226.1415,177.646,155.7973,186.2753,203.7521,210.7001,248.6768
2019-03-01,210.628,174.827,202.2281,236.0623,209.4616,166.0308,189.9687,210.36900000000003,219.4872,255.6783
2019-04-01,215.9985,176.6323,208.235,244.3102,212.6984,176.3303,195.9999,217.7389,229.0584,263.2012
2019-05-01,221.2588,180.4588,214.0404,249.1176,219.6863,182.2453,200.6997,228.7921,237.057,273.6695
